zip_code,income
60606,100377.00
60601,77374.00
60611,69889.00
60614,68324.00
60603,61815.00
60655,59849.00
60646,58232.00
60605,56151.00
60657,55647.00
60631,55316.00
60661,54698.00
60652,53120.00
60643,51305.00
60610,51294.00
60634,50042.00
60613,48381.00
60630,47905.00
60656,47512.00
60638,45173.00
60659,45064.00
60641,42182.00
60645,41438.00
60618,41355.00
60607,40972.00
60633,40792.00
60629,40279.00
60639,40165.00
60625,40083.00
60622,38487.00
60628,38210.00
60632,37406.00
60620,36334.00
60617,35534.00
60647,35283.00
60660,34293.00
60619,33631.00
60651,32622.00
60640,32466.00
60615,31571.00
60626,31318.00
60604,31250.00
60616,30625.00
60623,28203.00
60608,28026.00
60636,27727.00
60649,27699.00
60644,26930.00
60609,25705.00
60612,25143.00
60602,23750.00
60637,23228.00
60624,22426.00
60621,19718.00
60653,14205.00
60654,0.00
